title,country,release_year,genre,description,Streaming Service
The Saint,United States,1997,"Action, Adventure, Drama","Want someone to infiltrate a top-secret organiz ation or steal a scientific formula that could change the world? For the right price, The Saint's your man.",hulu
The Spy Who Loved Me,United Kingdom,1977,"Action, Adventure","When British and Russian subs start vanishing, 007 teams up with Russia’s top spy to do battle with a menacing, steel-toothed, 7’2” henchman, Jaws, and thwart archvillain Karl Stromberg’s plans for destroying the world with nuclear bombs.",hulu
The Taking of Pelham 1 2 3,"United States, United Kingdom",2009,"Action, Adventure, Black Stories","Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime.",hulu
Victor Frankenstein,"United Kingdom, Canada, United States",2015,"Drama, Horror",The story of Frankenstein and his monster is brought to eye-popping new life in this lavish update with Daniel Radcliffe and James McAvoy.,hulu
Gemini,United States,2017,"Drama, Horror, Mystery","A heinous crime tests the complex relationship between a Hollywood starlet and her tenacious personal assistant. As the assistant unravels the mystery, she must confront her own understanding of friendship, truth and celebrity.",hulu
Hitman: Agent 47,"United States, United Kingdom, Germany, Canada",2015,"Action, Adventure, Crime",A genetically bred assassin joins forces with a young woman to stop a corporation looking to steal the secret of his past.,hulu
"Love, Simon",United States,2018,"Comedy, Drama, LGBTQ+",A closeted gay teen deals with coming out to his family and friends in this charming.coming-of-age tale.,hulu
Maze Runner: The Death Cure,United States,2018,"Action, Adventure, Science Fiction","Thomas leads his group of escaped Gladers on a dangerous mission to save their friends in the finale to the ""Maze Runner"" trilogy.",hulu
Bolden,United States,2019,"Drama, History, Music","BOLDEN imagines the compelling, powerful and tragic journey of Buddy Bolden, the unsung American hero who invented Jazz.",hulu
Trolls: TrollsTopia,United States,2020,"Family, Kids","Trolls: TrollsTopia! is the next chapter in the Trolls’ hair-raising adventures. During the Trolls sequel, Trolls: World Tour, everything gets turned on its hair when Poppy learns there are five other musically themed Trolls tribes scattered throughout the forest. Now, armed with her endless positivity she decides to bring delegates from the Country Western, Classical, Funk, Techno, and Hard Rock tribes to live together in her village, to form a new Trolls city and promote friendship and harmony in a grand experiment she calls… TrollsTopia! The delegates from the other villages won’t be the kings or queens we met in Trolls World Tour – those characters will remain in their respective villages and continue to function as the leaders of their tribes. Instead, we’re going to meet new, original characters that represent the fun features of their home tribes.",hulu
"Friday The 13th, Part III",United States,1982,"Horror, Thriller",A group of teenagers heads up to a camp in the country and becomes the target of a psycho lurking about.,hulu
Friday the 13th: The Final Chapter,United States,1984,"Action, Adventure, Horror","Having been revived at the hospital, Jason returns to Crystal Lake to meet more victims. However, this time has he met his match in Tommy Jarvis?",hulu
Girls! Girls! Girls!,United States,1962,"Comedy, Music","Fishing boat captain, popular with the ladies, sings at night to earn enough to buy his own boat.",hulu
Hoosiers,"United Kingdom, United States",1986,"Drama, Sports",Gene Hackman stars as a basketball coach who guides a tiny Indiana high-school team to a state title in this sports classic.,hulu
Kiss The Girls,United States,1997,"Black Stories, Crime, Drama",A DC based detective with a degree in psychology hunts down a serial killer who is on the loose.,hulu
Phase IV,"United Kingdom, United States",1974,"Horror, Science Fiction, Thriller",Ecological suspense tale about a strange biological imbalance creating super intelligent ants which attack a scientific installation in the Arizona desert.,hulu
The Interview,United States,2014,Comedy,"Dave Skylark and producer Aaron Rapoport run the celebrity tabloid show ""Skylark Tonight."" When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA.",hulu
The Mexican,"United States, Mexico",2001,"Action, Adventure, Comedy","A clumsy criminal is put in a position where he not only has to save his own skin, but that of his girlfriend in this comedy with strong undercurrents of romance.",hulu
The Tenant,"France, United States",1976,"Drama, Horror","A lonely young man rents a flat that was formerly occupied by a girl who committed suicide. Gradually he begins to assume her identity, dressing in her clothes, and eventually throwing himself out of the same window from which she jumped to her death.",hulu
The X-Files: Fight the Future,United States,1998,"Horror, Science Fiction, Thriller",FBI agents Mulder and Scully probe events that may prove the existence of aliens on Earth. Based on the TV series.,hulu
30 Days of Night,"United States, New Zealand",2007,"Horror, Thriller",An Alaskan town that goes dark for a month draws a group of vampires.,hulu
Gunfight at the O.K. Corral,United States,1957,"Classics, Documentaries, Drama",Dramatization of the legendary battle between Wyatt Earp and the Clanton Gang.,hulu
My Bloody Valentine,Canada,1981,"Horror, Thriller",A crazed miner returns from deep within the bowels of a dark tunnel with a pick in his hand and revenge in his heart.,hulu
Some Kind of Wonderful,United States,1987,"Comedy, Romance","A young tomboy, Watts (Mary Stuart Masterson), discovers that her feelings for her best friend, Keith (Eric Stoltz), run deeper than just friendship when he gets a date with Amanda (Lea Thompson), the most popular girl in school. Amanda's ex, Hardy (Craig Scheffer), who is from the rich section of town, is unable to let go of her, and plans to get back at Keith.",hulu
The Final Girls,"United States, Canada",2015,"Comedy, Horror",Max is transported into a 1980s horror film that starred her dead mother.,hulu
Under the Tuscan Sun,"United States, Italy",2003,"Comedy, Drama, Romance",A recently divorced San Francisco writer impulsively buys a villa during a trip to Italy and embarks on a life-changing adventure.,hulu
This Way Up,United Kingdom,2019,"Comedy, Drama, International","This Way Up is a comedy drama about moving on, moving forward and trying to find happiness. Written by Aisling Bea (Living With Yourself, The Fall, Netflix The Comedy Line Up) she also stars as the charming and funny Aine, who is trying to pull her life back together after a “teeny little nervous breakdown"". Her sister Shona, played by Sharon Horgan (Catastrophe, Game Night, Pulling), is increasingly worried about both her sister and her own relationship issues with her boyfriend, played by Aasif Mandvi (A Series of Unfortunate Events, Halal in the Family) and the impending question of marriage.",hulu
Papillon,"United States, Czech Republic, Spain",2017,"Action, Adventure, Drama","In this remake of the 1973 classic, Papillon, a French prisoner forms an unlikely bond with a fellow inmate and finds the will to ensure they both survive.",hulu
78/52: Hitchcock's Shower Scene,United States,2017,"Documentaries, Thriller",Just when you thought it was safe to go back in the shower... Discover how Alfred Hitchcock's Psycho changed film history forever with one shocking scene.,hulu
Citizen Jane: Battle for the City,United States,2017,Documentaries,Chronicle of activist Jane Jacobs' battle with developers who threatened to demolish NYC's most historic neighborhoods and a lesson in the power of the average person to push back.,hulu
Dealt,United States,2017,Documentaries,"Prepare to be inspired and amazed by Richard Turner, one of the world's most renowned card magicians, who met adversity head-on and refused to let his disability define him.",hulu
Frank Serpico,United States,2017,Documentaries,The courageous police officer known for exposing corruption within the NYPD and inspiring the Al Pacino classic recounts his incredible story in his own words.,hulu
Frankenstein and the Monster from Hell,United Kingdom,1974,Horror,"The infamous Frankenstein is again recreated, this time from the spare body organs of the criminally insane.",hulu
Take Every Wave: The Life of Laird Hamilton,United States,2017,"Documentaries, Sports","Experience the white-knuckle thrill of big wave surfing through the eyes of Laird Hamilton, a living legend who conquers the world's mightiest tides.",hulu
The Gift,United States,2000,"Drama, Horror",A woman with ESP is asked to help solve a mysterious murder.,hulu
Tooth Fairy,"United States, Canada",2010,"Comedy, Family, Kids",Dwayne Johnson is a hockey-playing hellion who turns into a tutu-wearing Tooth Fairy to atone for his bad behavior in this family film.,hulu
Gone Girl,United States,2014,"Crime, Drama, Mystery","On the occasion of his fifth wedding anniversary, a magazine writer reports that his beautiful wife – famous for being the inspiration for her parents' beloved children's books – has gone missing. Presented by FXM",hulu
Fun in Acapulco,United States,1963,"Comedy, Music",Fun In Acapulco portrays Elvis as a sexy lifeguard by day who transforms himself into a popular entertainer at night by singing at a local Mexican resort.,hulu
Hud,United States,1963,"Action, Adventure, Drama","Life is hard on a Texas ranch, and the owner is not helped by his arrogant ne'er-do-well son, who is a bad influence on the household. The winner of 3 Academy Awards including Best Actress.",hulu
The Cookout,United States,2004,"Black Stories, Comedy, Drama","NBA draftee, Todd Anderson, throws an old-fashioned cookout in his new upscale neighborhood.",hulu
Wayne's World 2,United States,1993,"Comedy, Music","The success of their TV show allows Wayne Campbell and Garth Algar to finally move out of their parents' homes, but now they have to figure out what to do with their lives.",hulu
Young Adult,United States,2011,"Comedy, Drama, Romance","A divorced writer from the Midwest returns to her hometown to reconnect with an old flame, who's now married with a family.",hulu
Everything's Gonna Be Okay,United States,2020,"Comedy, Drama","Australian twenty-something Nicholas is left to take care of his two American teenage half-sisters after the death of their father. Nicholas hasn’t been particularly present in his siblings’ lives, and now his sisters have to cope with not only a devastating loss but the reality that their neurotic, ill-equipped brother is all they have. But he tries! He tries so, so hard.",hulu
Sleeping with the Enemy,United States,1991,"Drama, Horror, Thriller","In this tense thriller, a battered wife (Julia Roberts) stages her death, moves, and assumes a new identity – only to be threatened again once her husband learns of the ruse.",hulu
Juda,Israel,2017,"Action, Adventure, Crime","Juda is a low-life gambler hustling a living in the murky depths of the criminal underworld. Borrowing money from the French mafia for a seat at a high-stakes Romanian poker game he wins big, only for his luck to run out when he is robbed and bitten by a seductive vampiress. Unbeknownst to her she has broken the cardinal rule of her forefathers by drinking Jewish blood and begun her own path to mortality. Facing a race against time she must choose; exterminate Juda within eight days before his transition is complete and her own fate and that of her clan is endangered, or save him and risk everything. What follows is a sweeping tale of an unwilling hero’s journey to redemption, true friendship and forbidden love as Juda is hunted by Romanian vampires, Israeli cops and French mobsters whilst running from his own fate of becoming immortal.",hulu
Another Time,United States,2018,"Adventure, Comedy, Romance","The top investment manager at his firm is assigned to help the stunning owner of a recently acquired company. He realizes he has fallen for her, and he has to go back in time to meet her before she becomes engaged.",hulu
Back in Time,"United States, Canada, United Kingdom",2015,Documentaries,"Back in Time is a look at the impact the Back to the Future movies have had on our culture. From Spielberg to Zemeckis, Lloyd and Fox, paired with amazing trilogy fans, Back in Time features interviews and footage that must be seen.",hulu
Get Big,United States,2017,"Comedy, Drama","""Get Big"" follows the misadventures of two friends, Alec and Nate, as they reconnect to attend a high school classmate's wedding.",hulu
Blippi,United States,2016,Kids,"Explore the world as seen through the eyes of a curious toddler. Feed your kids’ curiosity while they learn about vehicles, animals, the natural world and so much more. Blippi helps children‘s understanding of the world and encourages vocabulary development. Blippi loves visiting exciting places such as children’s museums and the zoo! He loves singing, dancing, playing and exploring.",hulu
Harrow,"United States, Australia",2018,"Crime, Drama, International","Daniel Harrow is a brilliant forensic pathologist who solves the cases others can't. When a secret from his past threatens his career and his family, he'll need all his wit and forensic genius to keep a crime buried forever.",hulu
Beach Rats,United States,2018,"Drama, LGBTQ+","BEACH RATS follows a teenage Frankie (Harris Dickinson) on the outer edges of Brooklyn as he struggles to reconcile his competing sexual desires, leaving him hurtling towards irreparable consequences.",hulu
Antebellum,United States,2020,"Black Stories, Thriller","A successful author is plunged into a horrifying reality that forces her to confront her past, present, and future in this tense thriller from visionary filmmakers Bush + Renz, and the producer of Get Out and Us.",hulu
Dear Comrades!,Russia,2020,"Drama, History","When the communist government raises food prices in 1962, the rebellious workers from the small industrial town of Novocherkassk go on strike. The massacre which then ensues is seen through the eyes of a devout party activist.",hulu
12 Hour Shift,United States,2020,"Comedy, Horror, Thriller","It’s 1998, and over the course of one 12-hour shift at an Arkansas hospital, a junkie nurse, her scheming cousin, and a group of black market organ-trading criminals start a heist that could lead to their collective demise.",hulu
Kindred,United Kingdom,2020,"Horror, Thriller",A chilling tale of one young woman slowly losing her grip on reality...or is she being brainwashed and psychologically tortured by her deceased boyfriend's family?,hulu
Good Morning America,United States,1975,News,"The Emmy-winning morning news program featuring anchors George Stephanopoulos, Robin Roberts, Lara Spencer, Amy Robach and Ginger Zee.",hulu
The School That Tried to End Racism,United Kingdom,2020,Documentaries,New series following a pioneering British school as it tries to help its students uncover and eradicate hidden racial biases.,hulu
You Laugh But It's True,"United States, South Africa",2011,"Comedy, Documentaries, Drama","In the world of stand-up comedy in South Africa, Trevor Noah uses his experiences during Apartheid to prepare for the biggest show of his life.",hulu
Notturno,"Italy, France, Germany",2020,"Documentaries, International","Filmed over three years on the borders between Iraq, Kurdistan, Syria and Lebanon, director Gianfranco Rosi’s Notturno captures the everyday life that lies in the aftermath of tyranny, invasions and terrorism.",hulu
Ingrid Goes West,United States,2017,Comedy,"Ingrid (Plaza) is an unstable young woman who secretly moves to LA to befriend Taylor (Olsen) – a woman with a fabulous boyfriend, a cute terrier, and a ton of online followers. Ingrid's plan is threatened when Taylor’s brother arrives in town.",hulu
Derek DelGaudio’s In & Of Itself,United States,2021,"Documentaries, Drama","Derek DelGaudio’s In & Of Itself is a new kind of lyric poem. It tells the story of a man fighting to see through the illusion of his own identity, only to discover that identity itself is an illusion. An intimate and powerful exploration of what it means to be and be seen, the film chronicles Derek DelGaudio’s attempt to answer one deceptively simple question, “Who am I?” His personal journey expands to a collective experience that forces us to confront the boundaries of our own identities.",hulu
Terra Willy: Unexplored Planet,France,2019,"Adventure, Comedy, Kids","When a young boy crash lands on an unexplored planet, he must rely on a survival robot and an alien creature to help him find his way home.",hulu
The Sister,"United States, United Kingdom",2021,"Drama, Mystery","Almost a decade into his new devoted, married life, Nathan is rocked to the core when Bob, an unwelcome face from the past, turns up on his doorstep with shocking news, triggering a series of catastrophic decisions.",hulu
The Tax Collector,United States,2020,"Crime, Drama, Thriller","David and Creeper are “tax collectors” for a local crime lord, but when an old rival returns, David must fight for his family and his life.",hulu
90 Day Fiancé: Self-Quarantined,United States,2020,"Documentaries, Reality, Romance","For the couples featured across the ""90 Day Fiancé"" franchise, their relationships have been tested by distance, cultural and religious differences, skeptical families, language barriers and much more; like the rest of the world, their lives and love are facing an unfathomable challenge of the global coronavirus pandemic.",hulu
No Escape,United States,2020,"Horror, Thriller","A social media star travels to Moscow to capture new content. Always pushing the limits and catering to a growing audience, he and his friends enter a cold world of mystery, excess, and danger.",hulu
The Secrets We Keep,United States,2020,Thriller,"A survivor of WWII, rebuilding her life in suburban America with her husband, kidnaps her neighbor who she believes is responsible for the murder of her family during the war.",hulu
Everyone is Doing Great,United States,2021,Drama,"Seth and Jeremy enjoyed the success of ‘Eternal,’ a hit television vampire drama. Five years after their show has ended, they lean on each other as they awkwardly navigate the perils of life and love in a late coming-of-age.",hulu
24 Hours: Assault on the Capitol,United States,2021,News,"The detailed timeline of events surrounding the deadly siege of the U.S. Capitol and violence in Washington, D.C. on January 6, 2021.",hulu
Lights Out,United States,2016,"Horror, Thriller",A young woman and her step-brother are terrorized by a malevolent spirit that only appears when the lights go out.,hulu
The Rhythm Section,"United Kingdom, Spain, Ireland, United States",2020,"Action, Thriller",A woman seeks revenge against those who orchestrated a plane crash that killed her family.,hulu
Mushoku Tensei: Jobless Reincarnation,Japan,2021,Anime,"When a 34-year-old underachiever gets run over by a bus, his story doesn’t end there. Reincarnated as an infant, Rudy will use newfound courage, friends, and magical abilities to embark on an epic adventure!",hulu
HoriMiya,Japan,2021,Anime,"A secret life is the thing they have in common. Hori is a prim social butterfly, but at home she’s a bit brash. Meanwhile, under a gloomy facade, Miyamura hides a gentle heart, piercings, and tattoos. In a chance meeting, they reveal their hidden sides.",hulu
Celebs Go Dating,United Kingdom,2016,Reality,"The Celebrity Dating Agency opens its doors to single celebrities looking for love but these sexy boys and girls aren’t dating other celebs, they’re dating you the Great British public.",hulu
Diary of a Wimpy Kid,"United States, United Kingdom",2010,"Comedy, Family, Kids",A sixth grader attempts to find his place in the gawky adolescent world of junior high in this family film.,hulu
Down To Earth: The Astronaut Perspective,United States,2021,"Documentaries, Science & Technology","NASA astronauts will take you on a journey to the International Space Station, and showcase the life-changing experience of an orbital perspective. View Earth as you’ve never seen it before: through the eyes of an astronaut.",hulu
Footloose,United States,1984,"Classics, Drama, Music",An urban teenager who moves to a small town dominated by a fundamentalist preacher wages an ambitious war against adult repression.,hulu
How Do You Know,United States,2010,"Comedy, Drama, Romance","In this love triangle comedy, a white collar executive and professional baseball player are each vying for the affections of the same woman.",hulu
Save Yourselves!,United States,2020,"Comedy, Science Fiction","A young Brooklyn couple heads to an upstate cabin to unplug from their phones and reconnect with each other. Blissfully unaware of their surroundings, they are left to their own devices as the planet falls under attack.",hulu
Shrek,"United States, Japan",2001,"Action, Adventure, Cartoons","Once upon a time, in a far away swamp, there lived an ornery ogre named Shrek whose precious solitude is suddenly shattered by an invasion of annoying fairy tale characters.",hulu
Where Hope Grows,United States,2015,"Drama, Family","A self-destructive former pro baseball player's faith in God is restored when he meets Produce, an inspirational man with Down syndrome",hulu
Bayou Caviar,United States,2018,"Black Stories, Drama, Horror","Oscar® winner Cuba Gooding Jr.’s directorial debut is a thrilling story of sex, murder and revenge set in Louisiana. Also starring Oscar® winner Richard Dreyfus, Famke Janssen (X-Men: Days of Future Past) and Katharine McPhee (Scorpion).",hulu
Pilgrimage,"Ireland, Belgium, United States",2017,"Action, Adventure, Drama","Leaving his Irish monastery for the first time, a young novice departs with a devoted group of monks and a mysterious former Crusader as they attempt to transport a holy relic to Rome.",hulu
The Limehouse Golem,United Kingdom,2017,"Crime, Mystery, Thriller","With the Limehouse Golem serial killer on the loose and taunting the police with messages written in blood, Inspector Kildare (Bill Nighy) must rely on help from a troubled witness (Olivia Cooke) to bring the killer to justice.",hulu
The Osiris Child,Australia,2017,"Action, Adventure, Horror","When a dangerous outbreak threatens to destroy everyone living on a newly colonized planet, Lt. Kane Sommerville goes against orders and leaves his station to rescue his young daughter before it's too late.",hulu
American Animals,"United Kingdom, United States",2018,"Crime, Drama, Horror",The unbelievable but true story of four young men who brazenly attempt to execute one of the most audacious art heists in U.S. history.,hulu
I.T.,Ireland,2016,"Drama, Horror, Mystery","Mike Regan (Pierce Brosnan) is a successful, self-made man. But he soon finds himself in a deadly game of cat-and-mouse when his I.T. consultant uses his skills to endanger Mike’s family, business and life.",hulu
Soldiers of Fortune,"Russia, United States",2012,"Action, Adventure, Thriller",A former Special Forces soldier (Christian Slater) must protect a group of thrill-seeking millionaires who have paid big bucks to take part in a military excursion.,hulu
Ottolenghi and the Cakes of Versailles,United States,2020,Documentaries,Follows celebrity chef Yotam Ottolenghi as he assembles a star-studded team of the world's most innovative pastry chefs to put on a Versailles-themed culinary gala at the Met in NYC.,hulu
The Owners,"United Kingdom, France, United States",2020,Thriller,"When a group of friends break into an empty house, the elderly couple that lives there comes home early and the would-be thieves suddenly must fight to save themselves.",hulu
Someone Marry Barry,United States,2014,"Comedy, Romance","In this raunchy romantic comedy, a trio of childhood friends schemes to find a wife for their socially inappropriate pal Barry. Their plan backfires when his girlfriend turns out to be just like him. A FilmBuff Presentation.",hulu
You Cannot Kill David Arquette,United States,2020,Documentaries,Actor David Arquette returns to the professional wrestling ring for a series of matches.,hulu
Spree,United States,2020,"Comedy, Horror, Thriller","Seeking social media fame, rideshare driver Kurt comes up with the perfect way to go viral: murdering his passengers via livestream.",hulu
The Hero,United States,2017,Drama,"World-renowned icon Sam Elliott stars as an aging actor confronting mortality in THE HERO, a beautifully poignant celebration of life and the legacies we leave behind. Also starring Laura Prepon, Nick Offerman, and Krysten Ritter.",hulu
The Jinkx & DeLa Holiday Special,United States,2020,Comedy,"Drag Queens, sentient eggnog, song and dance, a naked man. Hold on to your sugarplums and get ready for a holiday drag spectacular that's as magical as a flying reindeer and as unexpected as a virgin birth!",hulu
Dirt Music,"Australia, United Kingdom",2019,Romance,"The fervent attraction between Georgie (Kelly Macdonald), a woman stuck in a loveless relationship, and Lu (Garrett Hedlund), a musician with a tragic past, gets the better of them when secrets are uncovered that will change their lives.",hulu
Once Upon a Time in Venice,United States,2017,"Action, Adventure, Comedy","When Steve Ford's (Bruce Willis) beloved dog, Buddy, is stolen by local thugs, he makes a questionable alliance with their devious leader, Spyder (Jason Momoa) in order to set things straight and get Buddy back where he belongs.",hulu
The Evil in Us,Canada,2016,Horror,The good times quickly turn into a nightmare when six friends on a remote island unknowingly take a new bio-active drug containing a virus that causes fits of psychotic rage.,hulu
The Rewrite,United States,2015,"Comedy, Romance","Keith Michaels was an award-winning screenwriter, but divorce and a string of unsuccessful films have left him with nothing but bad debts and blank pages. So when his agent finds him a job as teacher at a remote university, Keith can't say no.",hulu
Endless,United States,2020,"Drama, Romance","When madly in love high school graduates Riley and Chris are separated by a tragic car accident, Riley blames herself for her boyfriend’s death while Chris is stranded in limbo. The two find a way to connect in a love story that transcends life and death.",hulu
Spy Cat,"Germany, Belgium",2018,"Adventure, Comedy, Family",A pampered house cat sets off on a wild adventure as a secret agent.,hulu
The Fairy Princess and the Unicorn,"Germany, Luxembourg",2019,"Action, Adventure, Family","In the magical world of Bayala, a pair of twin fairies set off to save a dragon from the kingdom's evil fairy queen.",hulu
Valley Girl,United States,2020,Romance,A valley girl and a punk rocker from the city defy their parents and friends to stay together.,hulu
How to Fake a War,United Kingdom,2019,Comedy,"When an unexpected outbreak of peace leads to a cease fire between Ukbar forces and Georgian rebels, arrogant rock star Harry Hope fears for the success of his heavily hyped Piece of Peace global charity concert.",hulu
The Secret Garden,"United Kingdom, France, United States, China",2020,"Drama, Family, Science Fiction","A new take on the beloved classic novel, a young orphan girl who, after being sent to live with her uncle, discovers a magical garden on the grounds of his estate.",hulu
Black Ops,United Kingdom,2019,"Action, Horror, Thriller","Trapped on a never-ending stairwell, members of a black ops team confront a mysterious and terrifying evil while trying to climb to the top.",hulu
God's Own Country,United Kingdom,2017,"Drama, Romance",A young farmer numbs his frustrations with drinking and casual sex until a Romanian migrant worker sets him on a new path.,hulu
It Had to Be You,United States,2016,"Comedy, Romance","Sonia (Cristin Milioti), a neurotic and charming jingle writer, dreams of having an exciting life. The sudden marriage proposal and subsequent ultimatum from her easygoing boyfriend (Dan Soder) force Sonia to confront whether she wants to join the ranks of her married friends or pursue her fantasies.",hulu
Mr. Jones,"Poland, United Kingdom, Ukraine",2020,"Drama, History, Thriller",Welsh journalist Gareth Jones risks his life to expose the truth about the devastating famine in the Soviet Union in the early 1930s.,hulu
Waiting for the Barbarians,"Italy, United States",2019,"Drama, History",A local magistrate reevaluates his loyalty to his nation while holed up at a remote outpost.,hulu
Brassic,United Kingdom,2019,Comedy,"Vinnie, a Lancashire lad with bipolar disorder, and Dylan, his razor-smart best mate, are inseparable and utterly co-dependant. But Dylan's girlfriend Erin might just shake things up for good with her plans to leave town and start a new life for herself and her kid, Tyler. Dylan is faced with the impossible decision between a fresh start with the love of his life or staying behind with his inseparable gang of mates that he can't live without.",hulu
MACHO: THE HECTOR CAMACHO STORY,United States,2020,"Documentaries, Sports","The rise, fall and untimely death of boxing?s most colorful champion.",hulu
She Dies Tomorrow,United States,2020,"Drama, Thriller",A woman's conviction that she will die tomorrow spreads like a contagion through a town.,hulu
The Hardy Boys,Canada,2020,"Action, Adventure, Drama","After a family tragedy strikes, Frank Hardy and his brother Joe are forced to move from the big city to their parent’s hometown of Bridgeport for the summer. Staying with their Aunt Trudy, Frank and Joe’s quiet summer quickly comes to a halt when they discover their Dad, detective Fenton Hardy has taken on a secret investigation. Realizing that their Dad may be onto something the boys take it upon themselves to start an investigation of their own, and suddenly everyone in town is a suspect",hulu
Rebuilding Paradise,United States,2020,Documentaries,"Ron Howard’s Rebuilding Paradise follows the Paradise community one year after the 2018 Camp Fire, as they come together to recover what was lost.",hulu
Angels & Demons,"United States, Italy",2009,"Mystery, Thriller","In Ron Howard's thrilling follow-up to The Da Vinci Code, expert symbologist Robert Langdon (Tom Hanks) follows ancient clues on a heart-racing hunt through Rome to find the four Cardinals kidnapped by the deadly secret society, the Illuminati.",hulu
Euphoria,"United Kingdom, Sweden, Germany",2017,Drama,Two estranged sisters reconnect when one suggests traveling to a mysterious and remote castle.,hulu
Shared Rooms,United States,2016,"Comedy, Drama, LGBTQ+","In this romantic comedy, married Laslo and Cal take in a gay teen relative; Sid and Gray have a casual online hookup which unexpectedly deepens; Julian and Dylan confront their secret mutual attraction when forced to share a bed for a week.",hulu
The Da Vinci Code,"United States, Malta, France, United Kingdom",2006,"Adventure, Drama, Mystery",A murder inside the Louvre and clues in Da Vinci paintings lead to the discovery of a religious mystery protected by a secret society for two thousand years – which could shake the foundations of Christianity.,hulu
The Perfect Wedding,United States,2012,"Comedy, Drama, LGBTQ+","Gavin and Paul meet and fall in love over a weekend where family and friends are planning the wedding of Paul’s sister. But Gavin is posing as the boyfriend of Paul’s ex, leading to a classic comic quandary as they try to ignore their feelings.",hulu
The Big Ugly,United States,2020,"Crime, Drama",London mob bosses invest in a West Virginia oil deal in hopes of laundering dirty money.,hulu
